"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12161","Aplicar o cupom inválido FAIELD e verificar a mensagem de erro","Carrinho de Compras - Cupons de Desconto","Tue Nov 12 14:22:06 BRT 2024","passed","Tue Nov 12 14:22:18 BRT 2024","","","",""
"","15038","Aplicar o cupom inválido 20LIMITADO e verificar a mensagem de erro","","Tue Nov 12 16:10:32 BRT 2024","passed","Tue Nov 12 16:10:47 BRT 2024","","Carrinho de Compras - Cupons de Desconto","Carrinho de Compras - Cupons de Desconto","Aplicar o cupom inválido 20LIMITADO e verificar a mensagem de erro"
"","11638","Aplicar o cupom inválido CUPOMVENCIDO e verificar a mensagem de erro","Carrinho de Compras - Cupons de Desconto","Tue Nov 12 14:22:18 BRT 2024","passed","Tue Nov 12 14:22:30 BRT 2024","","","",""
"","12141","Aplicar o cupom inválido FAIELD e verificar a mensagem de erro","","Tue Nov 12 16:10:47 BRT 2024","passed","Tue Nov 12 16:10:59 BRT 2024","","Carrinho de Compras - Cupons de Desconto","Carrinho de Compras - Cupons de Desconto","Aplicar o cupom inválido FAIELD e verificar a mensagem de erro"
"","16147","Aplicar o cupom de desconto 10OFF e verificar o desconto aplicado","Carrinho de Compras - Cupons de Desconto","Tue Nov 12 14:21:22 BRT 2024","passed","Tue Nov 12 14:21:39 BRT 2024","","","",""
"","15357","Aplicar o cupom de desconto FRETEGRATIS e verificar o desconto aplicado","","Tue Nov 12 16:10:17 BRT 2024","passed","Tue Nov 12 16:10:32 BRT 2024","","Carrinho de Compras - Cupons de Desconto","Carrinho de Compras - Cupons de Desconto","Aplicar o cupom de desconto FRETEGRATIS e verificar o desconto aplicado"
"","12030","Aplicar o cupom inválido CUPOMVENCIDO e verificar a mensagem de erro","","Tue Nov 12 16:10:59 BRT 2024","passed","Tue Nov 12 16:11:11 BRT 2024","","Carrinho de Compras - Cupons de Desconto","Carrinho de Compras - Cupons de Desconto","Aplicar o cupom inválido CUPOMVENCIDO e verificar a mensagem de erro"
"","13610","Aplicar o cupom de desconto FRETEGRATIS e verificar o desconto aplicado","Carrinho de Compras - Cupons de Desconto","Tue Nov 12 14:21:39 BRT 2024","passed","Tue Nov 12 14:21:53 BRT 2024","","","",""
"","24762","Aplicar o cupom de desconto 10OFF e verificar o desconto aplicado","","Tue Nov 12 16:09:52 BRT 2024","passed","Tue Nov 12 16:10:16 BRT 2024","","Carrinho de Compras - Cupons de Desconto","Carrinho de Compras - Cupons de Desconto","Aplicar o cupom de desconto 10OFF e verificar o desconto aplicado"
"","12446","Aplicar o cupom inválido 20LIMITADO e verificar a mensagem de erro","Carrinho de Compras - Cupons de Desconto","Tue Nov 12 14:21:53 BRT 2024","passed","Tue Nov 12 14:22:05 BRT 2024","","","",""
